"Frame 1"
Table view
"Feature","Learning App (Einstieg)","AI Buddy (Standalone)","Basic Kombi","Full Package"
"Feste Lerninhalte (strukturierte Kurse)","✓","✗","✓","✓"
"AI Buddy Chat (Basis)","✗","✓","✓","✓"
"Context-Linking (Buddy verknüpft mit Lerninhalten)","✗","✓","✓","✓"
"Dokumenten-Upload & Analyse","✗","✓","✗","✓"
"Knowledge Rack (PDF-Bibliothek)","✗","✓","✗","✓"
"Foto-Scan (Dokumente, Speisekarten, etc.)","✗","✓","✗","✓"
"Token-Kauf möglich","✗","✓","✗","✓"
"Community/Lerngruppen","✗","✗","✗","✓"
"Teaser: 1-2 AI-Fragen/24h","✓","✗","✗","✗"
"Zielgruppe","Preisbewusste Lerner, Einsteiger","Expats, Einwanderer, Profis (Büro/öffentliche Einrichtungen)","Lerner mit AI-Support","Power-User, Experten, Professionals"
"Preis-Positionierung","Günstig (€)","Mittel (€€) + Token-Pakete","Mittel (€€)","Premium (€€€) + Token-Pakete"
